01.06.2020 21:22:13, Seconds:0, Milliseconds:529, direction:Down, mostNearElement:[27,26], False
01.06.2020 21:22:14, Seconds:0, Milliseconds:551, direction:Down, mostNearElement:[27,26], False
01.06.2020 21:22:15, Seconds:0, Milliseconds:687, direction:Down, mostNearElement:[27,26], False
01.06.2020 21:22:16, Seconds:0, Milliseconds:674, direction:Down, mostNearElement:[27,27], False
01.06.2020 21:22:18, Seconds:1, Milliseconds:258, direction:Left, mostNearElement:[26,27], False
01.06.2020 21:22:20, Seconds:1, Milliseconds:651, direction:Up, mostNearElement:[26,27], False
01.06.2020 21:22:23, Seconds:1, Milliseconds:952, direction:Up, mostNearElement:[26,27], False
01.06.2020 21:22:24, Seconds:0, Milliseconds:989, direction:Right, mostNearElement:[26,26], False
01.06.2020 21:22:25, Seconds:0, Milliseconds:167, direction:Right, mostNearElement:[26,26], False
01.06.2020 21:22:27, Seconds:0, Milliseconds:332, direction:Down, mostNearElement:[26,26], False
01.06.2020 21:22:28, Seconds:0, Milliseconds:289, direction:Down, mostNearElement:[26,26], False
01.06.2020 21:22:29, Seconds:0, Milliseconds:361, direction:Down, mostNearElement:[26,27], False
01.06.2020 21:22:30, Seconds:0, Milliseconds:364, direction:Right, mostNearElement:[28,26], False
01.06.2020 21:22:31, Seconds:0, Milliseconds:370, direction:Right, mostNearElement:[28,27], False
01.06.2020 21:22:32, Seconds:0, Milliseconds:373, direction:Up, mostNearElement:[28,26], False
01.06.2020 21:22:33, Seconds:0, Milliseconds:229, direction:Right, mostNearElement:[28,28], False
01.06.2020 21:22:34, Seconds:0, Milliseconds:207, direction:Down, mostNearElement:[28,28], False
01.06.2020 21:22:35, Seconds:0, Milliseconds:188, direction:Down, mostNearElement:[28,28], False
01.06.2020 21:22:36, Seconds:0, Milliseconds:250, direction:Left, mostNearElement:[28,28], False
01.06.2020 21:22:37, Seconds:0, Milliseconds:356, direction:Down, mostNearElement:[30,29], False
01.06.2020 21:22:38, Seconds:0, Milliseconds:340, direction:Right, mostNearElement:[30,29], False
01.06.2020 21:22:39, Seconds:0, Milliseconds:319, direction:Right, mostNearElement:[30,29], False
01.06.2020 21:22:40, Seconds:0, Milliseconds:516, direction:Down, mostNearElement:[20,30], False
01.06.2020 21:22:41, Seconds:0, Milliseconds:459, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:42, Seconds:0, Milliseconds:522, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:43, Seconds:0, Milliseconds:497, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:44, Seconds:0, Milliseconds:497, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:45, Seconds:0, Milliseconds:453, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:46, Seconds:0, Milliseconds:593, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:47, Seconds:0, Milliseconds:507, direction:Up, mostNearElement:[20,30], False
01.06.2020 21:22:48, Seconds:0, Milliseconds:479, direction:Up, mostNearElement:[20,30], False
01.06.2020 21:22:49, Seconds:0, Milliseconds:442, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:50, Seconds:0, Milliseconds:467, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:51, Seconds:0, Milliseconds:443, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:52, Seconds:0, Milliseconds:420, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:53, Seconds:0, Milliseconds:391, direction:Left, mostNearElement:[20,30], False
01.06.2020 21:22:54, Seconds:0, Milliseconds:366, direction:Down, mostNearElement:[20,30], False
01.06.2020 21:22:55, Seconds:0, Milliseconds:352, direction:Down, mostNearElement:[20,30], False
01.06.2020 21:22:56, Seconds:0, Milliseconds:340, direction:Down, mostNearElement:[20,30], False
01.06.2020 21:22:57, Seconds:0, Milliseconds:589, direction:Right, mostNearElement:[25,29], True
01.06.2020 21:22:58, Seconds:0, Milliseconds:528, direction:Right, mostNearElement:[25,29], True
01.06.2020 21:22:59, Seconds:0, Milliseconds:875, direction:Up, mostNearElement:[25,29], True
01.06.2020 21:23:00, Seconds:0, Milliseconds:96, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:01, Seconds:0, Milliseconds:97, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:03, Seconds:0, Milliseconds:150, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:03, Seconds:0, Milliseconds:126, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:04, Seconds:0, Milliseconds:99, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:05, Seconds:0, Milliseconds:99, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:06, Seconds:0, Milliseconds:97, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:07, Seconds:0, Milliseconds:99, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:08, Seconds:0, Milliseconds:100, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:09, Seconds:0, Milliseconds:99, direction:Up, mostNearElement:[8,8], False
01.06.2020 21:23:10, Seconds:0, Milliseconds:139, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:11, Seconds:0, Milliseconds:100, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:12, Seconds:0, Milliseconds:142, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:13, Seconds:0, Milliseconds:102, direction:Right, mostNearElement:[8,8], False
01.06.2020 21:23:14, Seconds:0, Milliseconds:124, direction:Up, mostNearElement:[8,7], False
01.06.2020 21:23:16, Seconds:0, Milliseconds:138, direction:Right, mostNearElement:[9,7], False
01.06.2020 21:23:16, Seconds:0, Milliseconds:151, direction:Up, mostNearElement:[9,6], False
01.06.2020 21:23:17, Seconds:0, Milliseconds:186, direction:Left, mostNearElement:[8,6], False
01.06.2020 21:23:18, Seconds:0, Milliseconds:141, direction:Up, mostNearElement:[10,6], False
01.06.2020 21:23:19, Seconds:0, Milliseconds:111, direction:Up, mostNearElement:[10,6], False
01.06.2020 21:23:20, Seconds:0, Milliseconds:118, direction:Right, mostNearElement:[10,2], False
01.06.2020 21:23:22, Seconds:0, Milliseconds:158, direction:Right, mostNearElement:[10,2], False
01.06.2020 21:23:23, Seconds:0, Milliseconds:210, direction:Up, mostNearElement:[10,2], False
01.06.2020 21:23:24, Seconds:0, Milliseconds:193, direction:Up, mostNearElement:[10,2], False
01.06.2020 21:23:25, Seconds:0, Milliseconds:226, direction:Right, mostNearElement:[9,5], True
01.06.2020 21:23:26, Seconds:0, Milliseconds:201, direction:Right, mostNearElement:[11,5], True
01.06.2020 21:23:26, Seconds:0, Milliseconds:195, direction:Right, mostNearElement:[11,5], True
01.06.2020 21:23:28, Seconds:0, Milliseconds:252, direction:Right, mostNearElement:[11,5], True
01.06.2020 21:23:29, Seconds:0, Milliseconds:265, direction:Down, mostNearElement:[11,5], True
01.06.2020 21:23:30, Seconds:0, Milliseconds:252, direction:Down, mostNearElement:[11,5], True
01.06.2020 21:23:31, Seconds:0, Milliseconds:163, direction:Left, mostNearElement:[12,8], True
01.06.2020 21:23:32, Seconds:0, Milliseconds:90, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:33, Seconds:0, Milliseconds:89, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:34, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:35, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:36, Seconds:0, Milliseconds:90, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:37, Seconds:0, Milliseconds:92, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:38, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:39, Seconds:0, Milliseconds:92, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:40, Seconds:0, Milliseconds:93, direction:Down, mostNearElement:[26,6], False
01.06.2020 21:23:41, Seconds:0, Milliseconds:117, direction:Down, mostNearElement:[26,6], False
01.06.2020 21:23:43, Seconds:0, Milliseconds:97, direction:Down, mostNearElement:[26,6], False
01.06.2020 21:23:44, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:45, Seconds:0, Milliseconds:89, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:46, Seconds:0, Milliseconds:90, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:47, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:48, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:49, Seconds:0, Milliseconds:91, direction:Right, mostNearElement:[26,6], False
01.06.2020 21:23:50, Seconds:0, Milliseconds:93, direction:Down, mostNearElement:[20,5], False
01.06.2020 21:23:51, Seconds:0, Milliseconds:92, direction:Left, mostNearElement:[20,5], False
01.06.2020 21:23:52, Seconds:0, Milliseconds:115, direction:Down, mostNearElement:[20,5], False
01.06.2020 21:23:54, Seconds:0, Milliseconds:182, direction:Right, mostNearElement:[25,5], True
01.06.2020 21:23:55, Seconds:0, Milliseconds:108, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:23:57, Seconds:0, Milliseconds:111, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:23:58, Seconds:0, Milliseconds:108, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:23:58, Seconds:0, Milliseconds:110, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:23:59, Seconds:0, Milliseconds:107, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:00, Seconds:0, Milliseconds:108, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:01, Seconds:0, Milliseconds:109, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:02, Seconds:0, Milliseconds:109, direction:Down, mostNearElement:[26,16], False
01.06.2020 21:24:03, Seconds:0, Milliseconds:112, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:04, Seconds:0, Milliseconds:121, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:05, Seconds:0, Milliseconds:110, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:06, Seconds:0, Milliseconds:116, direction:Right, mostNearElement:[26,16], False
01.06.2020 21:24:07, Seconds:0, Milliseconds:159, direction:Right, mostNearElement:[27,16], False
01.06.2020 21:24:09, Seconds:0, Milliseconds:264, direction:Down, mostNearElement:[27,17], False
01.06.2020 21:24:10, Seconds:0, Milliseconds:284, direction:Left, mostNearElement:[26,17], False
01.06.2020 21:24:11, Seconds:0, Milliseconds:372, direction:Down, mostNearElement:[26,18], False
01.06.2020 21:24:12, Seconds:0, Milliseconds:443, direction:Right, mostNearElement:[27,18], False
01.06.2020 21:24:13, Seconds:0, Milliseconds:795, direction:Down, mostNearElement:[27,20], False
01.06.2020 21:24:14, Seconds:0, Milliseconds:249, direction:Down, mostNearElement:[27,20], False
01.06.2020 21:24:15, Seconds:0, Milliseconds:248, direction:Left, mostNearElement:[26,18], True
01.06.2020 21:24:16, Seconds:0, Milliseconds:390, direction:Up, mostNearElement:[26,18], True
01.06.2020 21:24:17, Seconds:0, Milliseconds:381, direction:Up, mostNearElement:[26,18], True
01.06.2020 21:24:18, Seconds:0, Milliseconds:562, direction:Right, mostNearElement:[27,18], True
01.06.2020 21:24:18, Seconds:0, Milliseconds:10, direction:Right, mostNearElement:[4,4], True
01.06.2020 21:24:19, Seconds:0, Milliseconds:4, direction:Up, mostNearElement:[4,4], True
01.06.2020 21:24:21, Seconds:0, Milliseconds:218, direction:Up, mostNearElement:[28,16], True
01.06.2020 21:24:22, Seconds:0, Milliseconds:219, direction:Right, mostNearElement:[31,16], True
01.06.2020 21:24:23, Seconds:0, Milliseconds:400, direction:Right, mostNearElement:[31,16], True
01.06.2020 21:24:24, Seconds:0, Milliseconds:374, direction:Right, mostNearElement:[31,16], True
01.06.2020 21:24:26, Seconds:0, Milliseconds:168, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:27, Seconds:0, Milliseconds:164, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:27, Seconds:0, Milliseconds:165, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:28, Seconds:0, Milliseconds:165, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:30, Seconds:0, Milliseconds:166, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:30, Seconds:0, Milliseconds:163, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:32, Seconds:0, Milliseconds:155, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:32, Seconds:0, Milliseconds:148, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:34, Seconds:0, Milliseconds:273, direction:Right, mostNearElement:[8,27], False
01.06.2020 21:24:35, Seconds:0, Milliseconds:131, direction:Up, mostNearElement:[8,27], False
01.06.2020 21:24:35, Seconds:0, Milliseconds:124, direction:Right, mostNearElement:[8,26], False
01.06.2020 21:24:36, Seconds:0, Milliseconds:125, direction:Right, mostNearElement:[8,26], False
01.06.2020 21:24:37, Seconds:0, Milliseconds:122, direction:Right, mostNearElement:[9,26], False
01.06.2020 21:24:39, Seconds:0, Milliseconds:121, direction:Down, mostNearElement:[9,27], False
01.06.2020 21:24:39, Seconds:0, Milliseconds:125, direction:Left, mostNearElement:[8,27], False
01.06.2020 21:24:40, Seconds:0, Milliseconds:125, direction:Down, mostNearElement:[8,28], False
01.06.2020 21:24:41, Seconds:0, Milliseconds:131, direction:Right, mostNearElement:[9,28], False
01.06.2020 21:24:43, Seconds:0, Milliseconds:128, direction:Right, mostNearElement:[10,28], False
01.06.2020 21:24:43, Seconds:0, Milliseconds:127, direction:Up, mostNearElement:[10,27], False
01.06.2020 21:24:44, Seconds:0, Milliseconds:125, direction:Up, mostNearElement:[10,26], False
01.06.2020 21:24:46, Seconds:0, Milliseconds:196, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:47, Seconds:0, Milliseconds:251, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:48, Seconds:0, Milliseconds:312, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:49, Seconds:0, Milliseconds:451, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:50, Seconds:0, Milliseconds:267, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:51, Seconds:0, Milliseconds:181, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:52, Seconds:0, Milliseconds:218, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:53, Seconds:0, Milliseconds:192, direction:Up, mostNearElement:[10,18], False
01.06.2020 21:24:54, Seconds:0, Milliseconds:605, direction:Up, mostNearElement:[10,17], False
01.06.2020 21:24:54, Seconds:0, Milliseconds:131, direction:Left, mostNearElement:[9,17], False
01.06.2020 21:24:56, Seconds:0, Milliseconds:273, direction:Up, mostNearElement:[9,16], False
01.06.2020 21:24:56, Seconds:0, Milliseconds:187, direction:Left, mostNearElement:[8,16], False
01.06.2020 21:24:58, Seconds:0, Milliseconds:166, direction:Up, mostNearElement:[8,15], False
